  RIND  GIND  NSUB OSUB ILAT ILON   LAT    LON    LON(W) RPTS FLAG  REG 
------------------------------------------------------------------------
     1  2399    0    0    1    1   50.00  235.00 -125.00    6    2 outrg
     2  2400    0    0    1    2   50.00  237.50 -122.50   10    1 outrg
     3  2401    1    9    1    3   50.00  240.00 -120.00    2    3 nwrfc
     4  2402    1    9    1    4   50.00  242.50 -117.50    2    3 nwrfc
     5  2403    1    9    1    5   50.00  245.00 -115.00   10    1 nwrfc
     6  2404    3    6    1    6   50.00  247.50 -112.50    3    3 mbrfc
     7  2405    3    6    1    7   50.00  250.00 -110.00    2    3 mbrfc
     8  2406    3    6    1    8   50.00  252.50 -107.50    3    3 mbrfc
     9  2407    3    6    1    9   50.00  255.00 -105.00    5    2 mbrfc
    10  2408    3    7    1   10   50.00  257.50 -102.50    4    3 ncrfc
    11  2409    3    7    1   11   50.00  260.00 -100.00    5    2 ncrfc
    12  2410    3    7    1   12   50.00  262.50  -97.50    9    2 ncrfc
    13  2411    3    7    1   13   50.00  265.00  -95.00    7    2 ncrfc
    14  2412    0    0    1   14   50.00  267.50  -92.50    1    3 outrg
    15  2413    0    0    1   15   50.00  270.00  -90.00    0    3 outrg
    16  2414    0    0    1   16   50.00  272.50  -87.50    1    3 outrg
    17  2415    0    0    1   17   50.00  275.00  -85.00    0    3 outrg
    18  2416    0    0    1   18   50.00  277.50  -82.50    0    3 outrg
    19  2417    0    0    1   19   50.00  280.00  -80.00    0    3 outrg
    20  2418    0    0    1   20   50.00  282.50  -77.50    1    3 outrg
    21  2419    0    0    1   21   50.00  285.00  -75.00    0    3 outrg
    22  2420    0    0    1   22   50.00  287.50  -72.50    1    3 outrg
    23  2421    0    0    1   23   50.00  290.00  -70.00    0    3 outrg
    24  2422    0    0    1   24   50.00  292.50  -67.50    3    3 outrg
    25  2543    1    9    2    1   47.50  235.00 -125.00    6    2 nwrfc
    26  2544    1    9    2    2   47.50  237.50 -122.50   29    0 nwrfc
    27  2545    1    9    2    3   47.50  240.00 -120.00    6    2 nwrfc
    28  2546    1    9    2    4   47.50  242.50 -117.50    5    2 nwrfc
    29  2547    1    9    2    5   47.50  245.00 -115.00   13    1 nwrfc
    30  2548    3    6    2    6   47.50  247.50 -112.50   15    0 mbrfc
    31  2549    3    6    2    7   47.50  250.00 -110.00   12    1 mbrfc
    32  2550    3    6    2    8   47.50  252.50 -107.50    7    2 mbrfc
    33  2551    3    6    2    9   47.50  255.00 -105.00    6    2 mbrfc
    34  2552    3    6    2   10   47.50  257.50 -102.50   20    0 mbrfc
    35  2553    3    6    2   11   47.50  260.00 -100.00   24    0 mbrfc
    36  2554    3    7    2   12   47.50  262.50  -97.50   46    0 ncrfc
    37  2555    3    7    2   13   47.50  265.00  -95.00   16    0 ncrfc
    38  2556    3    7    2   14   47.50  267.50  -92.50   21    0 ncrfc
    39  2557    3    7    2   15   47.50  270.00  -90.00   10    1 ncrfc
    40  2558    3    7    2   16   47.50  272.50  -87.50   11    1 ncrfc
    41  2559    3    7    2   17   47.50  275.00  -85.00    2    3 ncrfc
    42  2560    0    0    2   18   47.50  277.50  -82.50    0    3 outrg
    43  2561    0    0    2   19   47.50  280.00  -80.00    3    3 outrg
    44  2562    0    0    2   20   47.50  282.50  -77.50    1    3 outrg
    45  2563    0    0    2   21   47.50  285.00  -75.00    0    3 outrg
    46  2564    0    0    2   22   47.50  287.50  -72.50    4    3 outrg
    47  2565    5    8    2   23   47.50  290.00  -70.00    6    2 nerfc
    48  2566    5    8    2   24   47.50  292.50  -67.50    6    2 nerfc
    49  2687    1    9    3    1   45.00  235.00 -125.00   10    1 nwrfc
    50  2688    1    9    3    2   45.00  237.50 -122.50   21    0 nwrfc
    51  2689    1    9    3    3   45.00  240.00 -120.00    4    3 nwrfc
    52  2690    1    9    3    4   45.00  242.50 -117.50   20    0 nwrfc
    53  2691    1    9    3    5   45.00  245.00 -115.00   22    0 nwrfc
    54  2692    3    6    3    6   45.00  247.50 -112.50   12    1 mbrfc
    55  2693    3    6    3    7   45.00  250.00 -110.00   16    0 mbrfc
    56  2694    3    6    3    8   45.00  252.50 -107.50   15    0 mbrfc
    57  2695    3    6    3    9   45.00  255.00 -105.00   13    1 mbrfc
    58  2696    3    6    3   10   45.00  257.50 -102.50   21    0 mbrfc
    59  2697    3    6    3   11   45.00  260.00 -100.00   39    0 mbrfc
    60  2698    3    6    3   12   45.00  262.50  -97.50   73    0 mbrfc
    61  2699    3    7    3   13   45.00  265.00  -95.00   44    0 ncrfc
    62  2700    3    7    3   14   45.00  267.50  -92.50   86    0 ncrfc
    63  2701    3    7    3   15   45.00  270.00  -90.00   68    0 ncrfc
    64  2702    3    7    3   16   45.00  272.50  -87.50   29    0 ncrfc
    65  2703    3    7    3   17   45.00  275.00  -85.00   16    0 ncrfc
    66  2704    3    7    3   18   45.00  277.50  -82.50    4    3 ncrfc
    67  2705    0    0    3   19   45.00  280.00  -80.00    1    3 outrg
    68  2706    0    0    3   20   45.00  282.50  -77.50    1    3 outrg
    69  2707    5    8    3   21   45.00  285.00  -75.00   15    0 nerfc
    70  2708    5    8    3   22   45.00  287.50  -72.50   58    0 nerfc
    71  2709    5    8    3   23   45.00  290.00  -70.00   36    0 nerfc
    72  2710    5    8    3   24   45.00  292.50  -67.50   12    1 nerfc
    73  2831    1    9    4    1   42.50  235.00 -125.00    4    3 nwrfc
    74  2832    1    9    4    2   42.50  237.50 -122.50   22    0 nwrfc
    75  2833    1    9    4    3   42.50  240.00 -120.00    0    3 nwrfc
    76  2834    1    9    4    4   42.50  242.50 -117.50   15    0 nwrfc
    77  2835    1    9    4    5   42.50  245.00 -115.00   34    0 nwrfc
    78  2836    1    9    4    6   42.50  247.50 -112.50   31    0 nwrfc
    79  2837    2    2    4    7   42.50  250.00 -110.00   44    0 cbrfc
    80  2838    3    6    4    8   42.50  252.50 -107.50   12    1 mbrfc
    81  2839    3    6    4    9   42.50  255.00 -105.00    8    2 mbrfc
    82  2840    3    6    4   10   42.50  257.50 -102.50   11    1 mbrfc
    83  2841    3    6    4   11   42.50  260.00 -100.00   27    0 mbrfc
    84  2842    3    6    4   12   42.50  262.50  -97.50   91    0 mbrfc
    85  2843    3    7    4   13   42.50  265.00  -95.00  101    0 ncrfc
    86  2844    3    7    4   14   42.50  267.50  -92.50  105    0 ncrfc
    87  2845    3    7    4   15   42.50  270.00  -90.00   77    0 ncrfc
    88  2846    3    7    4   16   42.50  272.50  -87.50   79    0 ncrfc
    89  2847    3    7    4   17   42.50  275.00  -85.00   76    0 ncrfc
    90  2848    3    7    4   18   42.50  277.50  -82.50   27    0 ncrfc
    91  2849    5   10    4   19   42.50  280.00  -80.00   74    0 ohrfc
    92  2850    5    5    4   20   42.50  282.50  -77.50  148    0 marfc
    93  2851    5    5    4   21   42.50  285.00  -75.00  147    0 marfc
    94  2852    5    8    4   22   42.50  287.50  -72.50  120    0 nerfc
    95  2853    5    8    4   23   42.50  290.00  -70.00   29    0 nerfc
    96  2854    0    0    4   24   42.50  292.50  -67.50    0    3 outrg
    97  2975    2    3    5    1   40.00  235.00 -125.00    5    2 cnrfc
    98  2976    2    3    5    2   40.00  237.50 -122.50   50    0 cnrfc
    99  2977    2    3    5    3   40.00  240.00 -120.00   23    0 cnrfc
   100  2978    2    3    5    4   40.00  242.50 -117.50    1    3 cnrfc
   101  2979    2    3    5    5   40.00  245.00 -115.00    1    3 cnrfc
   102  2980    2    2    5    6   40.00  247.50 -112.50   23    0 cbrfc
   103  2981    2    2    5    7   40.00  250.00 -110.00   30    0 cbrfc
   104  2982    2    2    5    8   40.00  252.50 -107.50   54    0 cbrfc
   105  2983    3    6    5    9   40.00  255.00 -105.00   87    0 mbrfc
   106  2984    3    6    5   10   40.00  257.50 -102.50   47    0 mbrfc
   107  2985    3    6    5   11   40.00  260.00 -100.00  100    0 mbrfc
   108  2986    3    6    5   12   40.00  262.50  -97.50  155    0 mbrfc
   109  2987    3    6    5   13   40.00  265.00  -95.00  146    0 mbrfc
   110  2988    3    6    5   14   40.00  267.50  -92.50   70    0 mbrfc
   111  2989    3    7    5   15   40.00  270.00  -90.00   89    0 ncrfc
   112  2990    5   10    5   16   40.00  272.50  -87.50  116    0 ohrfc
   113  2991    5   10    5   17   40.00  275.00  -85.00  162    0 ohrfc
   114  2992    5   10    5   18   40.00  277.50  -82.50  131    0 ohrfc
   115  2993    5   10    5   19   40.00  280.00  -80.00  261    0 ohrfc
   116  2994    5    5    5   20   40.00  282.50  -77.50  214    0 marfc
   117  2995    5    5    5   21   40.00  285.00  -75.00  204    0 marfc
   118  2996    0    0    5   22   40.00  287.50  -72.50   17    0 outrg
   119  2997    0    0    5   23   40.00  290.00  -70.00    1    3 outrg
   120  2998    0    0    5   24   40.00  292.50  -67.50    0    3 outrg
   121  3119    0    0    6    1   37.50  235.00 -125.00    1    3 outrg
   122  3120    2    3    6    2   37.50  237.50 -122.50   51    0 cnrfc
   123  3121    2    3    6    3   37.50  240.00 -120.00   51    0 cnrfc
   124  3122    2    3    6    4   37.50  242.50 -117.50    0    3 cnrfc
   125  3123    2    3    6    5   37.50  245.00 -115.00    1    3 cnrfc
   126  3124    2    2    6    6   37.50  247.50 -112.50   20    0 cbrfc
   127  3125    2    2    6    7   37.50  250.00 -110.00    4    3 cbrfc
   128  3126    2    2    6    8   37.50  252.50 -107.50   34    0 cbrfc
   129  3127    4    1    6    9   37.50  255.00 -105.00   56    0 abrfc
   130  3128    4    1    6   10   37.50  257.50 -102.50   65    0 abrfc
   131  3129    4    1    6   11   37.50  260.00 -100.00   95    0 abrfc
   132  3130    4    1    6   12   37.50  262.50  -97.50  175    0 abrfc
   133  3131    4    1    6   13   37.50  265.00  -95.00  181    0 abrfc
   134  3132    3    6    6   14   37.50  267.50  -92.50   74    0 mbrfc
   135  3133    6    4    6   15   37.50  270.00  -90.00   88    0 lmrfc
   136  3134    5   10    6   16   37.50  272.50  -87.50  115    0 ohrfc
   137  3135    5   10    6   17   37.50  275.00  -85.00  158    0 ohrfc
   138  3136    5   10    6   18   37.50  277.50  -82.50  437    0 ohrfc
   139  3137    5    5    6   19   37.50  280.00  -80.00  267    0 marfc
   140  3138    5    5    6   20   37.50  282.50  -77.50   78    0 marfc
   141  3139    0    0    6   21   37.50  285.00  -75.00   11    1 outrg
   142  3140    0    0    6   22   37.50  287.50  -72.50    0    3 outrg
   143  3141    0    0    6   23   37.50  290.00  -70.00    0    3 outrg
   144  3142    0    0    6   24   37.50  292.50  -67.50    0    3 outrg
   145  3263    0    0    7    1   35.00  235.00 -125.00    0    3 outrg
   146  3264    0    0    7    2   35.00  237.50 -122.50    7    2 outrg
   147  3265    2    3    7    3   35.00  240.00 -120.00   12    1 cnrfc
   148  3266    2    3    7    4   35.00  242.50 -117.50    1    3 cnrfc
   149  3267    2    2    7    5   35.00  245.00 -115.00    2    3 cbrfc
   150  3268    2    2    7    6   35.00  247.50 -112.50   36    0 cbrfc
   151  3269    2    2    7    7   35.00  250.00 -110.00   20    0 cbrfc
   152  3270    4   12    7    8   35.00  252.50 -107.50    2    3 wgrfc
   153  3271    4   12    7    9   35.00  255.00 -105.00   15    0 wgrfc
   154  3272    4    1    7   10   35.00  257.50 -102.50   71    0 abrfc
   155  3273    4    1    7   11   35.00  260.00 -100.00  114    0 abrfc
   156  3274    4    1    7   12   35.00  262.50  -97.50  159    0 abrfc
   157  3275    4    1    7   13   35.00  265.00  -95.00  209    0 abrfc
   158  3276    4    1    7   14   35.00  267.50  -92.50  145    0 abrfc
   159  3277    6    4    7   15   35.00  270.00  -90.00   87    0 lmrfc
   160  3278    6    4    7   16   35.00  272.50  -87.50  130    0 lmrfc
   161  3279    6    4    7   17   35.00  275.00  -85.00  186    0 lmrfc
   162  3280    6   11    7   18   35.00  277.50  -82.50  189    0 serfc
   163  3281    6   11    7   19   35.00  280.00  -80.00   93    0 serfc
   164  3282    6   11    7   20   35.00  282.50  -77.50   46    0 serfc
   165  3283    0    0    7   21   35.00  285.00  -75.00    5    2 outrg
   166  3284    0    0    7   22   35.00  287.50  -72.50    0    3 outrg
   167  3285    0    0    7   23   35.00  290.00  -70.00    0    3 outrg
   168  3286    0    0    7   24   35.00  292.50  -67.50    0    3 outrg
   169  3407    0    0    8    1   32.50  235.00 -125.00    0    3 outrg
   170  3408    0    0    8    2   32.50  237.50 -122.50    0    3 outrg
   171  3409    0    0    8    3   32.50  240.00 -120.00    0    3 outrg
   172  3410    2    3    8    4   32.50  242.50 -117.50    1    3 cnrfc
   173  3411    2    2    8    5   32.50  245.00 -115.00    1    3 cbrfc
   174  3412    2    2    8    6   32.50  247.50 -112.50   11    1 cbrfc
   175  3413    2    2    8    7   32.50  250.00 -110.00   16    0 cbrfc
   176  3414    4   12    8    8   32.50  252.50 -107.50   25    0 wgrfc
   177  3415    4   12    8    9   32.50  255.00 -105.00   14    1 wgrfc
   178  3416    4   12    8   10   32.50  257.50 -102.50   27    0 wgrfc
   179  3417    4   12    8   11   32.50  260.00 -100.00   78    0 wgrfc
   180  3418    4   12    8   12   32.50  262.50  -97.50  132    0 wgrfc
   181  3419    4   12    8   13   32.50  265.00  -95.00  122    0 wgrfc
   182  3420    6    4    8   14   32.50  267.50  -92.50   84    0 lmrfc
   183  3421    6    4    8   15   32.50  270.00  -90.00   94    0 lmrfc
   184  3422    6   11    8   16   32.50  272.50  -87.50  104    0 serfc
   185  3423    6   11    8   17   32.50  275.00  -85.00   94    0 serfc
   186  3424    6   11    8   18   32.50  277.50  -82.50   65    0 serfc
   187  3425    6   11    8   19   32.50  280.00  -80.00   32    0 serfc
   188  3426    0    0    8   20   32.50  282.50  -77.50    3    3 outrg
   189  3427    0    0    8   21   32.50  285.00  -75.00    0    3 outrg
   190  3428    0    0    8   22   32.50  287.50  -72.50    0    3 outrg
   191  3429    0    0    8   23   32.50  290.00  -70.00    0    3 outrg
   192  3430    0    0    8   24   32.50  292.50  -67.50    0    3 outrg
   193  3551    0    0    9    1   30.00  235.00 -125.00    0    3 outrg
   194  3552    0    0    9    2   30.00  237.50 -122.50    0    3 outrg
   195  3553    0    0    9    3   30.00  240.00 -120.00    0    3 outrg
   196  3554    0    0    9    4   30.00  242.50 -117.50    0    3 outrg
   197  3555    0    0    9    5   30.00  245.00 -115.00    0    3 outrg
   198  3556    0    0    9    6   30.00  247.50 -112.50    0    3 outrg
   199  3557    0    0    9    7   30.00  250.00 -110.00    0    3 outrg
   200  3558    0    0    9    8   30.00  252.50 -107.50    1    3 outrg
